"","APEX_region","year","N","depth","sd","se","ci"
"1","beta_tower_forest",2015,56,68.1964285714286,12.6741248833378,1.69365117823701,3.39415280845739
"2","beta_tower_forest",2017,43,72.3255813953488,21.2117677697036,3.23476425910702,6.52801856423494
"3","beta_tower_forest",2018,25,60.72,12.0779413256841,2.41558826513681,4.9855291459014
"4","beta_tower_forest",2019,15,72.2,24.6785042380727,6.37196239489098,13.666500120475
"5","beta_tower_forest",2021,24,85.875,34.689069196782,7.08087659868445,14.6479092643067
"6","beta_tower_forest",2022,12,86.5,30.164699416853,8.70779866417211,19.1657356369086
"7","met_station",2008,16,33.6125,5.94147849164387,1.48536962291097,3.16599040774187
"8","met_station",2009,59,37.9118644067797,5.72999021319988,0.745981185787272,1.49324358243378
"9","met_station",2010,46,44.1260869565217,7.38949508973106,1.08952161102695,2.19440916902831
"10","met_station",2011,42,43.6238095238095,8.04711157159889,1.24169627301642,2.50765649620103
"11","met_station",2012,3,49,8.18535277187245,4.72581562625261,20.3335435045884
"12","met_station",2015,10,47.2,3.91010087963071,1.23648246606609,2.7971176672858
"13","met_station",2017,62,58.2661290322581,10.4315559021871,1.32480892438735,2.64911917081672
"14","met_station",2018,16,71.75,12.4230967690561,3.10577419226404,6.61980099071246
"15","met_station",2019,128,71.484375,13.1523384196694,1.16251346062607,2.30040434524188
"16","met_station",2021,7,42.9142857142857,6.55373394115359,2.4770785953108,6.06119297108353
"17","NE_of_emergent_bog",2014,12,49.0833333333333,3.59186791955316,1.0368829551238,2.28216399697945
"18","NE_of_emergent_bog",2015,52,46,4.53742606486515,0.629227782134542,1.26322748324514
"19","NE_of_emergent_bog",2018,31,61.3870967741936,21.0248700659558,3.77617813826968,7.71198460187506
"20","NE_of_emergent_bog",2019,15,67.7666666666667,9.26372855100292,2.39188442678803,5.13008187761288
"21","NE_of_emergent_bog",2020,20,45.85,6.42589334358717,1.43687343324243,3.00741065891666
"22","NE_of_emergent_bog",2021,52,54.7596153846154,8.60602296195632,1.193440656429,2.39593209268194
"23","NE_of_emergent_bog",2022,18,58.8333333333333,8.16196343160293,1.92379323009435,4.05884892538334
"24","NW_of_emergent_bog",2018,64,67.78125,15.8459536169883,1.98074420212354,3.95820144346637
"25","NW_of_emergent_bog",2019,25,84.2,13.0384048104053,2.60768096208106,5.38198898682388
"26","NW_of_emergent_bog",2020,20,46.05,3.33206116074531,0.745071526061336,1.55945262630108
"27","NW_of_emergent_bog",2021,63,59.0952380952381,15.3567409656983,1.93476750207979,3.86754512873933
"28","NW_of_emergent_bog",2022,17,60.9411764705882,15.3642059192596,3.72636728581455,7.899545756043
"29","tower_to_old_taj",2013,34,51.5294117647059,7.59679076627256,1.30283886803942,2.65064560713778
"30","tower_to_old_taj",2018,94,59.6489361702128,18.9082148880836,1.95023345643963,3.87277713619574
"31","tower_to_old_taj",2019,45,71.7666666666667,14.2830955391966,2.12919817031784,4.29111695202357
"32","tower_to_old_taj",2020,20,81.2,5.46375617857783,1.22173302277845,2.55711660474027
"33","tower_to_old_taj",2021,71,77.6760563380282,7.67142126501681,0.910430204960024,1.81579578844972
"34","tower_to_old_taj",2022,29,73.2758620689655,11.2182776616815,2.08318186415001,4.2672046081832
